ASSENTOS_SALA;ASSENTOS_CADEIRANTES;ASSENTOS_MOBILIDADE_REDUZIDA;ASSENTOS_OBESIDADE;ACESSO_ASSENTOS_COM_RAMPA;ACESSO_SALA_COM_RAMPA;BANHEIROS_ACESSIVEIS;NOME_COMPLEXO;MUNICIPIO_COMPLEXO;UF_COMPLEXO;NOME_EXIBIDOR
117;2;0;15;SIM;NÃO;SIM;CINEMAS MARACANAU;MARACANAÚ;CE;EMPRESA DE CINEMAS FORTALEZA LTDA
420;8;8;14;SIM;NÃO;SIM;REDECINE TOTAL PELOTAS;PELOTAS;RS;REDECINE TOTAL CINEMATOGRÁFICA LTDA
232;4;4;14;SIM;NÃO;SIM;CINEART CONTAGEM;CONTAGEM;MG;DELTA FILMES LTDA
217;4;4;13;SIM;NÃO;SIM;CINEART CONTAGEM;CONTAGEM;MG;DELTA FILMES LTDA
214;4;4;13;SIM;NÃO;SIM;CINEART CONTAGEM;CONTAGEM;MG;DELTA FILMES LTDA
338;8;0;13;SIM;NÃO;SIM;CINESYSTEM ANANINDEUA;ANANINDEUA;PA;REDECINE BRA CINEMATOGRÁFICA S.A.
294;6;0;13;SIM;NÃO;SIM;CINEART CINE CIDADE;BELO HORIZONTE;MG;DELTA FILMES LTDA
257;6;0;13;SIM;SIM;NÃO;MULTIPLEX PRAÇA NOVA ARAÇATUBA;ARAÇATUBA;SP;MSA EMPRESA CINEMATOGRÁFICA LTDA
214;8;8;12;SIM;NÃO;SIM;CINEMAS BARRETOS;BARRETOS;SP;EMPRESA DE CINEMAS FORTALEZA LTDA
208;11;7;12;SIM;NÃO;SIM;CENTERPLEX SUZANO;SUZANO;SP;EMPRESA CENTERPLEX DE CINEMAS LTDA
212;8;6;12;SIM;NÃO;SIM;CENTERPLEX SUZANO;SUZANO;SP;EMPRESA CENTERPLEX DE CINEMAS LTDA
203;9;5;12;SIM;NÃO;SIM;CENTERPLEX MACEIÓ;MACEIÓ;AL;EMPRESA CENTERPLEX DE CINEMAS LTDA
201;4;4;12;NÃO;NÃO;SIM;CINEART CONTAGEM;CONTAGEM;MG;DELTA FILMES LTDA
